[2026-04-05T15:38:19.256Z] Launcher started in C:\Projects\Teste\openclaude
[2026-04-05T15:39:24.982Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:24.983Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:25.496Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:25.497Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:26.010Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:26.013Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:26.524Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:26.526Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:27.038Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:27.039Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:27.554Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:27.554Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:28.069Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:28.071Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:28.584Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:28.586Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:29.101Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:29.102Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:29.617Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:29.619Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:30.130Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:30.131Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:30.645Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:30.646Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:31.158Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:31.159Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:31.672Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:31.673Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:32.188Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:32.189Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:32.702Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:32.703Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:33.216Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:33.217Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:33.729Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:33.730Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:34.241Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:34.242Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:34.754Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:34.755Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:35.270Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:35.272Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:35.782Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:35.784Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:36.295Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:36.296Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:36.809Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:36.810Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:37.322Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:37.323Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:37.836Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:37.837Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:38.353Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:38.355Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:38.869Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:38.870Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:39.382Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:39.383Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:39.897Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:39.899Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:40.411Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:40.412Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:40.923Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:40.924Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:41.439Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:41.441Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:41.954Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:41.956Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:42.471Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:42.472Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:42.987Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:42.989Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:43.502Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:43.504Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:44.012Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:44.013Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:44.528Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:44.531Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:45.036Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:45.038Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:45.549Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:45.551Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:46.068Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:46.071Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:46.579Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:46.581Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:47.092Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:47.093Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:47.608Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:47.609Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:48.111Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:48.113Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:48.626Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:48.628Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:49.136Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:49.137Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:49.652Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:49.653Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:50.169Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:50.170Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:50.684Z] Wait complete: apiReady=false uiReady=false
